
@RELATION cluster_type

@ATTRIBUTE text_ratio	REAL
@ATTRIBUTE tag_ratio 	REAL
@ATTRIBUTE max_weight 	REAL
@ATTRIBUTE num_big   	REAL
@ATTRIBUTE class 	{DOCUMENT,LINKS,INVALID}

@DATA

%10jqka.com.cn
0.2879547291835085,0.4049586776859504,624,20,LINKS

%chinaren.com
0.159476760367381,0.4845360824742268,330,3,LINKS
0.2534078993358965,0.37755102040816324,285,2,LINKS
0.411114183024606,0.375,904,3,LINKS
0.22949526813880125,0.7272727272727273,544,2,LINKS

%gb.cri.cn
0.0,0.0,0,0,INVALID
0.0,0.0,0,0,INVALID
1.0,1.0,1143,4,DOCUMENT
0.20168067226890757,0.5,61,0,LINKS
0.8296662999633296,0.5897435897435898,1551,9,DOCUMENT
0.9539598969418618,0.825,1249,7,DOCUMENT
0.05102119460500963,0.4634146341463415,3413,3,LINKS
0.994073275862069,0.8333333333333334,1176,3,DOCUMENT
0.1926070038910506,0.33,210,2,LINKS
0.4029990627928772,0.4074074074074074,207,3,LINKS
